Expression,Meaning,Category
"play it by ear","decide how to deal with a situation as it develops","play"
"play with fire","take dangerous risks","play"
"play the field","date multiple people without commitment","play"
"play hard to get","pretend to be uninterested to increase attraction","play"
"play your cards right","make the best use of your opportunities","play/cards"
"play second fiddle","have a subordinate role","play"
"play into someone's hands","do exactly what an opponent wants","play"
"play the game","follow the rules or accepted practices","play/game"
"play ball","cooperate or work together","play"
"play for time","delay to gain advantage","play"
"play it safe","avoid taking risks","play"
"play fast and loose","behave irresponsibly or dishonestly","play"
"play both ends against the middle","manipulate opposing sides for personal gain","play"
"play possum","pretend to be dead or unaware","play"
"play hooky","skip school or work without permission","play"
"play the fool","act silly or stupid","play"
"play favorites","show preferential treatment","play"
"play dirty","use unfair or unethical tactics","play"
"play hardball","use aggressive or ruthless tactics","play"
"play it cool","remain calm and composed","play"
"fair play","just and honorable treatment","play"
"foul play","unfair or criminal behavior","play"
"child's play","something very easy","play"
"power play","strategic maneuver to gain advantage","play"
"play the race card","use racial issues for advantage","play"
"play the victim","act like you're being victimized","play"
"play dumb","pretend to be ignorant","play"
"play around","be unfaithful or waste time","play"
"play up","emphasize or exaggerate","play"
"play down","minimize or make less significant","play"
"all played out","exhausted or no longer effective","play"
"make a play for","attempt to obtain or seduce","play"
"play to the gallery","seek popular approval","play"
"play your ace","use your best resource","play"
"play a part","have a role or function","play"
"play along","pretend to cooperate","play"
"play catch-up","try to match competitors","play"
"replay the tape","reconsider past events","play"
"the game is up","the deception is discovered","game"
"game over","the end of something","game"
"ahead of the game","in an advantageous position","game"
"beat someone at their own game","defeat using their own methods","game"
"game changer","something that alters the situation dramatically","game"
"game plan","strategy or approach","game"
"game face","serious expression for competition","game"
"fun and games","playful activity or sarcastic reference to trouble","game"
"give the game away","reveal a secret accidentally","game"
"name of the game","most important aspect","game"
"off your game","not performing well","game"
"on your game","performing at your best","game"
"two can play at that game","I can retaliate similarly","game"
"what's your game?","what are you trying to do?","game"
"rigged game","unfair competition","game"
"fair game","legitimate target","game"
"game on","let's begin competing","game"
"gaming the system","manipulating rules for advantage","game"
"waiting game","strategy of patient delay","game"
"blame game","avoiding responsibility by accusing others","game"
"numbers game","situation dependent on statistics","game"
"guessing game","situation with uncertainty","game"
"whole new ball game","completely different situation","game/ball"
"ball is in your court","it's your turn to act","ball"
"on the ball","alert and competent","ball"
"drop the ball","make a mistake or fail in duty","ball"
"have a ball","enjoy oneself greatly","ball"
"keep your eye on the ball","maintain focus","ball"
"get the ball rolling","start something","ball"
"run with the ball","take initiative and proceed","ball"
"behind the eight ball","in a difficult position","ball"
"play hardball","be aggressive and uncompromising","ball"
"curveball","unexpected challenge","ball"
"oddball","eccentric person","ball"
"snowball effect","situation that grows increasingly","ball"
"ballpark figure","rough estimate","ball"
"that's the way the ball bounces","that's how things happen unpredictably","ball"
"ace up your sleeve","secret advantage","card/game"
"ace in the hole","hidden advantage","card/game"
"play your cards close to your vest","be secretive about plans","card"
"house of cards","unstable situation","card"
"wild card","unpredictable element","card"
"trump card","decisive advantage","card"
"in the cards","likely to happen","card"
"not playing with a full deck","not mentally sound","card"
"stack the deck","arrange unfairly","card"
"deal someone in","include someone","card"
"deal someone out","exclude someone","card"
"shuffle the deck","reorganize or change things","card"
"show your hand","reveal your intentions","card"
"hold all the cards","have all the advantages","card"
"play the hand you're dealt","accept your circumstances","card"
"fold your cards","give up or quit","card"
"call someone's bluff","challenge someone's deception","card"
"poker face","expressionless face","card"
"up the ante","increase the stakes","card"
"raise the stakes","increase the risk or importance","card"
"cash in your chips","end involvement or die","card"
"when the chips are down","in difficult circumstances","card"
"let the chips fall where they may","accept consequences","card"
"throw in your cards","quit or give up","card"
"deck is stacked against you","circumstances are unfavorable","card"
"checkmate","decisive defeat","chess"
"stalemate","deadlock with no winner","chess"
"pawn","person used by others","chess"
"gambit","strategic sacrifice for advantage","chess"
"chess game","complex strategic situation","chess"
"knight in shining armor","heroic rescuer","chess"
"make your move","take action","chess"
"kingpin","most important person","chess"
"queen bee","dominant woman in group","chess"
"across the board","applying to everyone or everything","board game"
"go back to the drawing board","start over","board game"
"take a roll of the dice","take a chance","dice"
"roll the dice","take a risk","dice"
"no dice","refusal or failure","dice"
"loaded dice","unfair advantage","dice"
"dice with death","take dangerous risks","dice"
"the die is cast","decision is made irreversibly","dice"
"domino effect","chain reaction","game"
"strike out","fail completely","game"
"three strikes and you're out","final chance before consequences","game"
"home run","great success","game"
"hit it out of the park","achieve spectacular success","game"
"step up to the plate","take responsibility","game"
"throw a curveball","present unexpected challenge","game"
"pitch perfect","exactly right","game"
"cover all bases","prepare for all possibilities","game"
"touch base","make contact","game"
"out in left field","completely wrong or odd","game"
"right off the bat","immediately","game"
"ballpark estimate","approximate figure","game"
"keep your eye on the prize","stay focused on goal","game"
"move the goalposts","change rules unfairly","game"
"level playing field","fair conditions for all","game"
"par for the course","typical or expected","game"
"handicap","disadvantage or impediment","game"
"tee up","prepare or set up","game"
"hole in one","perfect achievement","game"
"in the rough","in difficult circumstances","game"
"Monday morning quarterback","someone who criticizes after the fact","game"
"Hail Mary pass","desperate last attempt","game"
"fumble","make a mistake","game"
"timeout","pause or break","game"
"game time decision","decision made at last moment","game"
"down to the wire","very close to deadline","game"
"pass the baton","transfer responsibility","game"
"false start","unsuccessful beginning","game"
"jump the gun","act prematurely","game"
"neck and neck","tied or very close","game"
"front runner","leader in competition","game"
"dark horse","unexpected competitor","game"
"down for the count","defeated","game"
"throw in the towel","give up","game"
"below the belt","unfair attack","game"
"saved by the bell","rescued at last moment","game"
"on the ropes","in serious trouble","game"
"roll with the punches","adapt to difficulties","game"
"punch above your weight","compete beyond your level","game"
"heavyweight","important or influential person","game"
"in your corner","supporting you","game"
"take it on the chin","accept criticism or defeat","game"
"sucker punch","unexpected attack","game"
"one-two punch","two quick blows or problems","game"
"pull your punches","hold back","game"
"the gloves are off","no longer restrained","game"
"love game","winning without opponent scoring","tennis"
"serve an ace","achieve perfect success","tennis"
"double fault","two consecutive mistakes","tennis"
"match point","opportunity to win","tennis"
"deuce","tied score","tennis"
"game, set, match","complete victory","tennis"
"volley back and forth","exchange rapidly","tennis"
"net gain","overall profit","tennis"
"love-hate relationship","ambivalent feelings","tennis"
"score points","gain advantage","game"
"keep score","remember grievances","game"
"settle the score","get revenge","game"
"know the score","understand the situation","game"
"hat trick","three consecutive successes","game"
"own goal","self-defeating action","game"
"kick off","begin","game"
"take sides","choose a position","game"
"team player","cooperative person","game"
"carry the team","do most of the work","game"
"take one for the team","sacrifice for the group","game"
"bench warmer","inactive substitute","game"
"bench someone","remove from active participation","game"
"back to square one","return to beginning","board game"
"in the endgame","in final stages","game"
"opening gambit","initial strategic move","game"
"master stroke","brilliant action","game"
"checkered past","questionable history","game"
"play to win","compete with full effort","play/game"
"all bets are off","previous agreements cancelled","betting"
"safe bet","likely outcome","betting"
"hedge your bets","reduce risk by multiple strategies","betting"
"bet your bottom dollar","be completely certain","betting"
"sure bet","certain thing","betting"
"long shot","unlikely possibility","betting"
"place your bets","make your decision","betting"
"betting man","someone who takes risks","betting"
"play the odds","act based on probability","play/betting"
"stack the odds","create unfair advantage","betting"
"against all odds","despite low probability","betting"
"odds-on favorite","most likely to win","betting"
"even odds","equal probability","betting"
"toy with","play with casually or manipulate","play"
